sep=;



Timestamp;Logging:Logging.WindSpeed;Logging:Logging.YawLeft;Logging:Logging.YawRight;Logging:Logging.Move;Logging:Logging.YawBrakeReleased;Logging:Logging.HydPumpRunning;Logging:Logging.MotorBrakeReleased;Logging:Logging.YawBrakeRelease;Logging:Logging.MotorBrakesRelease;Logging:Logging.StatusID;Logging:Logging.AxisData[0].ErrorNumber;Logging:Logging.AxisData[0].ErrorNumberCoupling;Logging:Logging.AxisData[0].ErrorNumberTension;Logging:Logging.AxisData[0].ActualTorque;Logging:Logging.AxisData[0].ActualAxisCurrent;Logging:Logging.AxisData[0].ActualAxisVelocity;Logging:Logging.AxisData[0].ContTotalPowerServo;Logging:Logging.AxisData[0].OutputPowerServo;Logging:Logging.AxisData[0].UDCBusAct;Logging:Logging.AxisData[1].ErrorNumber;Logging:Logging.AxisData[1].ErrorNumberCoupling;Logging:Logging.AxisData[1].ErrorNumberTension;Logging:Logging.AxisData[1].ActualTorque;Logging:Logging.AxisData[1].ActualAxisCurrent;Logging:Logging.AxisData[1].ActualAxisVelocity;Logging:Logging.AxisData[1].ContTotalPowerServo;Logging:Logging.AxisData[1].OutputPowerServo;Logging:Logging.AxisData[1].UDCBusAct;Logging:Logging.AxisData[2].ErrorNumber;Logging:Logging.AxisData[2].ErrorNumberCoupling;Logging:Logging.AxisData[2].ErrorNumberTension;Logging:Logging.AxisData[2].ActualTorque;Logging:Logging.AxisData[2].ActualAxisCurrent;Logging:Logging.AxisData[2].ActualAxisVelocity;Logging:Logging.AxisData[2].ContTotalPowerServo;Logging:Logging.AxisData[2].OutputPowerServo;Logging:Logging.AxisData[2].UDCBusAct;Logging:Logging.AxisData[3].ErrorNumber;Logging:Logging.AxisData[3].ErrorNumberCoupling;Logging:Logging.AxisData[3].ErrorNumberTension;Logging:Logging.AxisData[3].ActualTorque;Logging:Logging.AxisData[3].ActualAxisCurrent;Logging:Logging.AxisData[3].ActualAxisVelocity;Logging:Logging.AxisData[3].ContTotalPowerServo;Logging:Logging.AxisData[3].OutputPowerServo;Logging:Logging.AxisData[3].UDCBusAct;Logging:Logging.AxisData[4].ErrorNumber;Logging:Logging.AxisData[4].ErrorNumberCoupling;Logging:Logging.AxisData[4].ErrorNumberTension;Logging:Logging.AxisData[4].ActualTorque;Logging:Logging.AxisData[4].ActualAxisCurrent;Logging:Logging.AxisData[4].ActualAxisVelocity;Logging:Logging.AxisData[4].ContTotalPowerServo;Logging:Logging.AxisData[4].OutputPowerServo;Logging:Logging.AxisData[4].UDCBusAct;
2019 12 10 15:07:20:023;6;0;1;1;1;0;1;1;1;0;0;0;0;-12,9;-3,6;-15,9;13,5;1618,5;511,6;0;0;0;2,3;0,3;-15,8;3;-269,3;503,1;0;0;0;-12,4;-3,8;-15,9;12,9;1521,1;503,1;0;0;0;-10,2;-3,2;-15,6;11,9;1355,7;504,5;0;0;0;2,6;0,7;-15,7;4,1;-305,6;510,3;
2019 12 10 15:07:20:043;6;0;1;1;1;0;1;1;1;0;0;0;0;-13;-3,9;-15,6;13,5;1637,5;511,6;0;0;0;3;1,2;-15,4;3;-319,4;504,3;0;0;0;-12,7;-3,8;-15,7;12,9;1584,9;503,1;0;0;0;-10,7;-3,2;-15,6;11,9;1382;504,9;0;0;0;2,6;0,8;-15,8;4,1;-233,3;511,6;
2019 12 10 15:07:20:063;6;0;1;1;1;0;1;1;1;0;0;0;0;-12,4;-4,1;-15,6;13,5;1554;511,4;0;0;0;4,4;0,6;-15,3;3;-551,3;504,1;0;0;0;-13,1;-3,9;-15,3;12,9;1621,1;503,8;0;0;0;-10,6;-3,2;-15,6;11,9;1337,2;505,2;0;0;0;2,6;0,9;-15,6;4,1;-265,9;512,2;
2019 12 10 15:07:20:083;6;0;1;1;1;0;1;1;1;0;0;0;0;-12,5;-4;-15,9;13,5;1494;509,6;0;0;0;2,1;0,5;-15,5;3;-265,8;504,5;0;0;0;-12,4;-3,7;-15,6;12,9;1540,7;503,3;0;0;0;-10,4;-3;-15,7;11,9;1309,8;505;0;0;0;3;0,7;-15,7;4,1;-327,4;512,2;
2019 12 10 15:07:20:103;6;0;1;1;1;0;1;1;1;0;0;0;0;-13,5;-3,8;-15,3;13,5;1699,7;510,8;0;0;0;3,4;1,3;-15,9;3;-325,2;505,6;0;0;0;-12,7;-3,8;-15,5;12,9;1493,5;503,8;0;0;0;-10,7;-3;-15,6;11,9;1336,3;505,3;0;0;0;3;0,8;-15,9;4,1;-324,6;512,4;
2019 12 10 15:07:20:123;6;0;1;1;1;0;1;1;1;0;0;0;0;-14;-3,8;-15,6;13,6;1689,5;510,1;0;0;0;2,9;1,1;-15,5;3;-365,6;505,2;0;0;0;-13,1;-3,6;-15,7;12,9;1614,7;504;0;0;0;-11;-2,9;-15,7;11,9;1404;505,1;0;0;0;3,1;0,6;-15,8;4,1;-358,3;510,4;
2019 12 10 15:07:20:143;6;0;1;1;1;0;1;1;1;0;0;0;0;-13,7;-3,9;-15,4;13,6;1647,2;510,1;0;0;0;1,8;0,9;-15,7;3;-194,7;504,9;0;0;0;-12,9;-3,7;-15,7;12,9;1498,3;502,8;0;0;0;-10,5;-3,1;-15,9;11,9;1323,4;504,8;0;0;0;2,6;0,6;-15,6;4,1;-294,8;510,9;
2019 12 10 15:07:20:163;6;0;1;1;1;0;1;1;1;0;0;0;0;-13,2;-3,7;-15,5;13,6;1638,3;510,2;0;0;0;4;1,1;-16,3;3;-403,5;504,1;0;0;0;-12,9;-3,8;-15,7;12,9;1586,8;503,7;0;0;0;-10,6;-3,1;-15,8;11,9;1391,2;503,4;0;0;0;2,7;0,7;-15,8;4,1;-268,7;511,1;
2019 12 10 15:07:20:183;6;0;1;1;1;0;1;1;1;0;0;0;0;-13;-3,6;-15,6;13,6;1693,1;510,4;0;0;0;2;0,9;-15,9;3;-169,3;504,4;0;0;0;-12,5;-3,6;-15,6;12,9;1580;503,7;0;0;0;-10,4;-3,1;-15,7;11,9;1368,4;504,1;0;0;0;2,7;0,8;-15,4;4,1;-300,1;510,8;
2019 12 10 15:07:20:203;6;0;1;1;1;0;1;1;1;0;0;0;0;-13,2;-3,9;-15,6;13,6;1629,9;510,2;0;0;0;3,2;0,5;-15,6;3;-321,5;505,4;0;0;0;-13,1;-3,9;-15,7;12,9;1628,1;504,7;0;0;0;-10,4;-3,1;-15,7;11,9;1393,5;504,9;0;0;0;2,3;0,8;-15,6;4,1;-252,6;511,2;
