sep=;



Timestamp;Logging:Logging.WindSpeed;Logging:Logging.YawLeft;Logging:Logging.YawRight;Logging:Logging.Move;Logging:Logging.YawBrakeReleased;Logging:Logging.HydPumpRunning;Logging:Logging.MotorBrakeReleased;Logging:Logging.YawBrakeRelease;Logging:Logging.MotorBrakesRelease;Logging:Logging.StatusID;Logging:Logging.AxisData[0].ErrorNumber;Logging:Logging.AxisData[0].ErrorNumberCoupling;Logging:Logging.AxisData[0].ErrorNumberTension;Logging:Logging.AxisData[0].ActualTorque;Logging:Logging.AxisData[0].ActualAxisCurrent;Logging:Logging.AxisData[0].ActualAxisVelocity;Logging:Logging.AxisData[0].ContTotalPowerServo;Logging:Logging.AxisData[0].OutputPowerServo;Logging:Logging.AxisData[0].UDCBusAct;Logging:Logging.AxisData[1].ErrorNumber;Logging:Logging.AxisData[1].ErrorNumberCoupling;Logging:Logging.AxisData[1].ErrorNumberTension;Logging:Logging.AxisData[1].ActualTorque;Logging:Logging.AxisData[1].ActualAxisCurrent;Logging:Logging.AxisData[1].ActualAxisVelocity;Logging:Logging.AxisData[1].ContTotalPowerServo;Logging:Logging.AxisData[1].OutputPowerServo;Logging:Logging.AxisData[1].UDCBusAct;Logging:Logging.AxisData[2].ErrorNumber;Logging:Logging.AxisData[2].ErrorNumberCoupling;Logging:Logging.AxisData[2].ErrorNumberTension;Logging:Logging.AxisData[2].ActualTorque;Logging:Logging.AxisData[2].ActualAxisCurrent;Logging:Logging.AxisData[2].ActualAxisVelocity;Logging:Logging.AxisData[2].ContTotalPowerServo;Logging:Logging.AxisData[2].OutputPowerServo;Logging:Logging.AxisData[2].UDCBusAct;Logging:Logging.AxisData[3].ErrorNumber;Logging:Logging.AxisData[3].ErrorNumberCoupling;Logging:Logging.AxisData[3].ErrorNumberTension;Logging:Logging.AxisData[3].ActualTorque;Logging:Logging.AxisData[3].ActualAxisCurrent;Logging:Logging.AxisData[3].ActualAxisVelocity;Logging:Logging.AxisData[3].ContTotalPowerServo;Logging:Logging.AxisData[3].OutputPowerServo;Logging:Logging.AxisData[3].UDCBusAct;Logging:Logging.AxisData[4].ErrorNumber;Logging:Logging.AxisData[4].ErrorNumberCoupling;Logging:Logging.AxisData[4].ErrorNumberTension;Logging:Logging.AxisData[4].ActualTorque;Logging:Logging.AxisData[4].ActualAxisCurrent;Logging:Logging.AxisData[4].ActualAxisVelocity;Logging:Logging.AxisData[4].ContTotalPowerServo;Logging:Logging.AxisData[4].OutputPowerServo;Logging:Logging.AxisData[4].UDCBusAct;
2019 12 10 16:06:55:613;6;1;0;1;1;0;1;1;1;0;0;0;0;11,7;3,4;6,6;5,6;688;516,7;0;0;0;-4,2;-1,3;6,7;2,4;-151,7;511,9;0;0;0;11,2;3,3;6,7;5,4;703,1;511;0;0;0;11,9;3,5;6,6;5,3;715,6;510,9;0;0;0;-5;-1,5;6,6;2,6;-201,6;517,1;
2019 12 10 16:06:55:633;6;1;0;1;1;0;1;1;1;0;0;0;0;12;3,3;6,9;5,6;697,1;517,2;0;0;0;-3,3;-1,3;6,8;2,4;-108,6;511,4;0;0;0;10,8;3,2;7;5,4;688;510,8;0;0;0;11,8;3,5;6,7;5,3;744,4;511,4;0;0;0;-5;-1,5;6,8;2,6;-209,4;516,9;
2019 12 10 16:06:55:653;6;1;0;1;1;0;1;1;1;0;0;0;0;12;3,4;6,9;5,6;790;516,8;0;0;0;-4,1;-1,2;6,8;2,4;-166,8;511,3;0;0;0;10,9;3,2;6,9;5,4;727,7;510,8;0;0;0;11,7;3,5;7;5,3;779,8;511;0;0;0;-5;-1,4;6,9;2,6;-194,1;516,5;
2019 12 10 16:06:55:673;6;1;0;1;1;0;1;1;1;0;0;0;0;11,7;3,4;7;5,6;728,3;516,8;0;0;0;-3,9;-1,1;6,8;2,4;-162,1;510,9;0;0;0;11,6;3,4;6,9;5,4;759,7;510,4;0;0;0;12;3,5;6,9;5,3;751,4;510,8;0;0;0;-4,9;-1,5;6,9;2,6;-206,5;516,7;
2019 12 10 16:06:55:693;6;1;0;1;1;0;1;1;1;0;0;0;0;11,6;3,4;7,2;5,6;726,6;516,3;0;0;0;-3,8;-1,2;6,9;2,4;-126,7;511,3;0;0;0;11,6;3,3;6,9;5,4;713,6;510,6;0;0;0;11,9;3,5;7,1;5,3;728,6;510,7;0;0;0;-5,1;-1,5;7,1;2,6;-209,7;516,5;
2019 12 10 16:06:55:713;6;1;0;1;1;0;1;1;1;0;0;0;0;11,8;3,4;6,9;5,6;804,9;516,4;0;0;0;-3,4;-1,1;6,9;2,4;-123,7;511;0;0;0;11,5;3,2;7,2;5,4;730,1;510;0;0;0;11,9;3,5;7,2;5,3;758,4;510,5;0;0;0;-4,9;-1,4;7,1;2,6;-198,8;516,3;
2019 12 10 16:06:55:733;6;1;0;1;1;0;1;1;1;0;0;0;0;12,2;3,6;7,2;5,6;817,7;515,9;0;0;0;-3,5;-1,1;7,2;2,4;-154;510,5;0;0;0;11,7;3,3;7,2;5,4;735,5;510,3;0;0;0;12,4;3,5;7;5,3;806,9;510,2;0;0;0;-5,2;-1,3;7,2;2,6;-248,4;516,2;
2019 12 10 16:06:55:753;6;1;0;1;1;0;1;1;1;0;0;0;0;11,8;3,6;7,3;5,6;825,5;516,2;0;0;0;-4,8;-1,2;7,4;2,4;-221,9;511,1;0;0;0;11,7;3,4;7;5,4;752,7;509,8;0;0;0;12,5;3,6;7,3;5,3;817,8;510,4;0;0;0;-4,4;-1,3;7,4;2,6;-158,7;515,7;
2019 12 10 16:06:55:773;6;1;0;1;1;0;1;1;1;0;0;0;0;12,6;3,6;7,6;5,6;842;516,6;0;0;0;-4,4;-1,4;7,3;2,4;-166,4;510,6;0;0;0;10,9;3,3;7,4;5,4;732,7;510,4;0;0;0;12,4;3,7;7,5;5,3;814,1;510,7;0;0;0;-4,7;-1,4;7,5;2,6;-223,8;516,4;
2019 12 10 16:06:55:793;6;1;0;1;1;0;1;1;1;0;0;0;0;12,6;3,6;7,4;5,6;843,5;515,9;0;0;0;-3,8;-1,2;7,5;2,4;-159,8;510,9;0;0;0;11,2;3,4;7,4;5,4;779,8;509,7;0;0;0;12,3;3,6;7,3;5,3;837,6;510,2;0;0;0;-4,8;-1,4;7,3;2,6;-221,4;515,8;
