sep=;



Timestamp;Logging:Logging.WindSpeed;Logging:Logging.YawLeft;Logging:Logging.YawRight;Logging:Logging.Move;Logging:Logging.YawBrakeReleased;Logging:Logging.HydPumpRunning;Logging:Logging.MotorBrakeReleased;Logging:Logging.YawBrakeRelease;Logging:Logging.MotorBrakesRelease;Logging:Logging.StatusID;Logging:Logging.AxisData[0].ErrorNumber;Logging:Logging.AxisData[0].ErrorNumberCoupling;Logging:Logging.AxisData[0].ErrorNumberTension;Logging:Logging.AxisData[0].ActualTorque;Logging:Logging.AxisData[0].ActualAxisCurrent;Logging:Logging.AxisData[0].ActualAxisVelocity;Logging:Logging.AxisData[0].ContTotalPowerServo;Logging:Logging.AxisData[0].OutputPowerServo;Logging:Logging.AxisData[0].UDCBusAct;Logging:Logging.AxisData[1].ErrorNumber;Logging:Logging.AxisData[1].ErrorNumberCoupling;Logging:Logging.AxisData[1].ErrorNumberTension;Logging:Logging.AxisData[1].ActualTorque;Logging:Logging.AxisData[1].ActualAxisCurrent;Logging:Logging.AxisData[1].ActualAxisVelocity;Logging:Logging.AxisData[1].ContTotalPowerServo;Logging:Logging.AxisData[1].OutputPowerServo;Logging:Logging.AxisData[1].UDCBusAct;Logging:Logging.AxisData[2].ErrorNumber;Logging:Logging.AxisData[2].ErrorNumberCoupling;Logging:Logging.AxisData[2].ErrorNumberTension;Logging:Logging.AxisData[2].ActualTorque;Logging:Logging.AxisData[2].ActualAxisCurrent;Logging:Logging.AxisData[2].ActualAxisVelocity;Logging:Logging.AxisData[2].ContTotalPowerServo;Logging:Logging.AxisData[2].OutputPowerServo;Logging:Logging.AxisData[2].UDCBusAct;Logging:Logging.AxisData[3].ErrorNumber;Logging:Logging.AxisData[3].ErrorNumberCoupling;Logging:Logging.AxisData[3].ErrorNumberTension;Logging:Logging.AxisData[3].ActualTorque;Logging:Logging.AxisData[3].ActualAxisCurrent;Logging:Logging.AxisData[3].ActualAxisVelocity;Logging:Logging.AxisData[3].ContTotalPowerServo;Logging:Logging.AxisData[3].OutputPowerServo;Logging:Logging.AxisData[3].UDCBusAct;Logging:Logging.AxisData[4].ErrorNumber;Logging:Logging.AxisData[4].ErrorNumberCoupling;Logging:Logging.AxisData[4].ErrorNumberTension;Logging:Logging.AxisData[4].ActualTorque;Logging:Logging.AxisData[4].ActualAxisCurrent;Logging:Logging.AxisData[4].ActualAxisVelocity;Logging:Logging.AxisData[4].ContTotalPowerServo;Logging:Logging.AxisData[4].OutputPowerServo;Logging:Logging.AxisData[4].UDCBusAct;
2019 12 10 16:39:39:533;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,3;-3,9;-15,8;6,6;1627,4;512,5;0;0;0;3,2;1,2;-15,5;2,3;-282,4;509,7;0;0;0;-11,8;-3,6;-15,5;6,1;1446,4;509,7;0;0;0;-11,4;-3,4;-15,7;6,2;1460,5;509,5;0;0;0;4;1;-15,4;2,4;-458,6;511,9;
2019 12 10 16:39:39:553;5;0;1;1;1;0;1;1;1;0;0;0;0;-12,6;-3,8;-15,9;6,6;1527,3;513,1;0;0;0;4,6;1,6;-15,9;2,3;-478,9;510;0;0;0;-11,5;-3,2;-15,8;6,1;1488,8;510;0;0;0;-11,7;-3,4;-15,6;6,2;1435,6;510,2;0;0;0;3,5;1,2;-15,6;2,4;-354,3;512,5;
2019 12 10 16:39:39:573;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,3;-3,9;-15,6;6,6;1638,3;512,2;0;0;0;2,9;1,1;-15,4;2,3;-367,1;510,5;0;0;0;-12,2;-3,5;-15,5;6,1;1449,5;509,6;0;0;0;-12,3;-3,5;-15,6;6,2;1514,2;510;0;0;0;4,1;1,2;-15,7;2,4;-480,8;512,7;
2019 12 10 16:39:39:593;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,3;-4,2;-15,5;6,6;1615,9;513,1;0;0;0;5;1,4;-15,9;2,3;-550,8;509,7;0;0;0;-12;-3,3;-15,6;6,1;1523,9;510,9;0;0;0;-12,1;-3,3;-15,6;6,2;1548,6;510,7;0;0;0;3,6;1,2;-15,8;2,4;-396,3;512,5;
2019 12 10 16:39:39:613;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,3;-4,1;-15,6;6,6;1611,3;511,7;0;0;0;3,1;1,4;-15,9;2,3;-283,4;509,9;0;0;0;-11,5;-3,2;-15,7;6,1;1435,6;509,6;0;0;0;-11,9;-3,5;-15,6;6,2;1574;510,7;0;0;0;3,8;1,2;-15,6;2,4;-432;511,9;
2019 12 10 16:39:39:633;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,6;-4;-15,6;6,6;1709,3;510,1;0;0;0;2,8;0,8;-15,5;2,3;-263,4;508,8;0;0;0;-12,4;-3,8;-15,8;6,1;1513,2;507,5;0;0;0;-12,2;-3,7;-15,8;6,2;1540,8;510,4;0;0;0;4,5;1,2;-15,7;2,4;-518,3;509,2;
2019 12 10 16:39:39:653;5;0;1;1;1;0;1;1;1;0;0;0;0;-14,1;-3,8;-15,4;6,6;1793,9;511,3;0;0;0;5,3;1,2;-15,5;2,3;-570,7;509,5;0;0;0;-12,1;-3,6;-15,7;6,1;1558,1;508,2;0;0;0;-11,7;-3,7;-15,6;6,2;1474,3;510,6;0;0;0;3,9;1,3;-15,7;2,4;-418,2;510,8;
2019 12 10 16:39:39:673;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,8;-3,8;-15,5;6,6;1747;511,3;0;0;0;4;0,6;-15,6;2,3;-507,7;510,4;0;0;0;-11,4;-3,7;-16,1;6,1;1474,7;509;0;0;0;-12;-3,6;-15,6;6,2;1498,2;510,5;0;0;0;3,9;0,9;-15,7;2,4;-426,9;510,3;
2019 12 10 16:39:39:693;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,6;-3,9;-15,9;6,6;1687,7;510,8;0;0;0;3,8;1,1;-15,7;2,3;-443,9;509,2;0;0;0;-12,8;-3,8;-15,5;6,1;1607,4;508,9;0;0;0;-12,4;-3,6;-15,6;6,2;1563,1;510,2;0;0;0;3,7;0,9;-15,7;2,4;-442,9;510,8;
2019 12 10 16:39:39:713;5;0;1;1;1;0;1;1;1;0;0;0;0;-13,2;-3,7;-15,8;6,6;1767,6;512;0;0;0;5,2;1,6;-15,9;2,3;-558,4;510,9;0;0;0;-11,6;-3,5;-15,4;6,1;1426,1;508,8;0;0;0;-11,9;-3,5;-15,6;6,2;1461,9;510,1;0;0;0;3,8;1,1;-15,6;2,4;-404,9;510,4;
